t_event_s,force_N,audio_rms_dbfs,audio_rms_linear,window_start_s,window_end_s
0.05,0.454,-21.15,0.087638,0.0,0.1
0.15,0.514,-21.24,0.08674,0.1,0.2
0.25,0.418,-21.7,0.082192,0.2,0.3
0.35,0.529,-21.72,0.082051,0.3,0.4
0.45,0.428,-21.02,0.088966,0.4,0.5
0.55,0.64,-20.99,0.08923,0.5,0.6
0.65,0.487,-20.96,0.089512,0.6,0.7
0.75,0.565,-21.58,0.083338,0.7,0.8
0.85,0.567,-21.41,0.085057,0.8,0.9
0.95,0.669,-21.36,0.085472,0.9,1.0
1.05,0.607,-21.32,0.085901,1.0,1.1
1.15,0.616,-20.51,0.094343,1.1,1.2
1.25,0.684,-20.65,0.09279,1.2,1.3
1.35,0.545,-18.76,0.115355,1.3,1.4
1.45,0.801,-18.69,0.116315,1.4,1.5
1.55,0.683,-19.29,0.108503,1.5,1.6
1.65,0.587,-18.24,0.12247,1.6,1.7
1.75,0.837,-20.82,0.090994,1.7,1.8
1.85,0.623,-21.72,0.081999,1.8,1.9
1.95,0.629,-21.45,0.084624,1.9,2.0
2.05,0.591,-22.52,0.07483,2.0,2.1
2.15,0.693,-21.39,0.085163,2.1,2.2
2.25,0.672,-20.36,0.095959,2.2,2.3
2.35,0.634,-19.05,0.11159,2.3,2.4
2.45,0.724,-18.76,0.115382,2.4,2.5
2.55,0.74,-18.16,0.123625,2.5,2.6
2.65,0.641,-19.3,0.108364,2.6,2.7
2.75,0.882,-16.65,0.147064,2.7,2.8
2.85,0.663,-17.16,0.1387,2.8,2.9
2.95,0.903,-19.59,0.104782,2.9,3.0
3.05,0.713,-20.95,0.089603,3.0,3.1
3.15,0.769,-21.27,0.086435,3.1,3.2
3.25,0.718,-21.43,0.084865,3.2,3.3
3.35,0.638,-22.63,0.073841,3.3,3.4
3.45,0.641,-22.67,0.073515,3.4,3.5
3.55,0.794,-22.77,0.072675,3.5,3.6
3.65,0.666,-23.19,0.069285,3.6,3.7
3.75,0.809,-22.17,0.077902,3.7,3.8
3.85,0.766,-22.25,0.077182,3.8,3.9
3.95,0.966,-22.48,0.07512,3.9,4.0
4.05,0.772,-23.82,0.064411,4.0,4.1
4.15,0.812,-23.68,0.065439,4.1,4.2
4.25,0.902,-23.47,0.067071,4.2,4.3
4.35,0.725,-23.87,0.064078,4.3,4.4
4.45,0.968,-21.93,0.080058,4.4,4.5
4.55,1.17,-20.24,0.097313,4.5,4.6
4.65,0.884,-21.1,0.088066,4.6,4.7
4.75,1.045,-20.97,0.089416,4.7,4.8
4.85,0.836,-22.0,0.079412,4.8,4.9
4.95,0.767,-22.24,0.077274,4.9,5.0
5.05,1.016,-21.93,0.080034,5.0,5.1
5.15,0.985,-20.55,0.093907,5.1,5.2
5.25,1.408,-20.93,0.089851,5.2,5.3
5.35,0.919,-20.52,0.094139,5.3,5.4
5.45,1.028,-20.88,0.09034,5.4,5.5
5.55,0.979,-20.83,0.090878,5.5,5.6
5.65,0.834,-20.9,0.090149,5.6,5.7
5.75,0.857,-21.38,0.085299,5.7,5.8
5.85,0.801,-21.14,0.087723,5.8,5.9
5.95,0.732,-20.4,0.095529,5.9,6.0
6.05,0.948,-20.63,0.093017,6.0,6.1
6.15,0.84,-20.73,0.091893,6.1,6.2
6.25,0.987,-21.3,0.086133,6.2,6.3
6.35,1.03,-20.81,0.091058,6.3,6.4
6.45,0.899,-21.03,0.088835,6.4,6.5
6.55,0.958,-20.54,0.093987,6.5,6.6
6.65,1.232,-20.14,0.098387,6.6,6.7
6.75,1.117,-19.57,0.105021,6.7,6.8
6.85,0.787,-18.61,0.11742,6.8,6.9
6.95,0.889,-17.12,0.139295,6.9,7.0
7.05,1.436,-16.78,0.144896,7.0,7.1
7.15,0.999,-15.05,0.176812,7.1,7.2
7.25,1.124,-14.98,0.178155,7.2,7.3
7.35,1.151,-14.44,0.189758,7.3,7.4
7.45,0.978,-15.18,0.174206,7.4,7.5
7.55,1.042,-15.2,0.173834,7.5,7.6
7.65,0.884,-14.7,0.184154,7.6,7.7
7.75,1.079,-14.14,0.196281,7.7,7.8
7.85,1.166,-13.09,0.221592,7.8,7.9
7.95,1.333,-12.35,0.241273,7.9,8.0
8.05,1.117,-9.19,0.347137,8.0,8.1
8.15,1.098,-8.27,0.385761,8.1,8.2
8.25,1.038,-10.08,0.313345,8.2,8.3
8.35,1.265,-10.74,0.290248,8.3,8.4
8.45,1.225,-10.65,0.293276,8.4,8.5
8.55,1.045,-11.6,0.263093,8.5,8.6
8.65,1.381,-10.87,0.285966,8.6,8.7
8.75,1.255,-10.44,0.300538,8.7,8.8
8.85,1.288,-11.81,0.256786,8.8,8.9
8.95,1.009,-13.83,0.203365,8.9,9.0
9.05,1.225,-15.31,0.171619,9.0,9.1
9.15,1.335,-15.65,0.165074,9.1,9.2
9.25,1.172,-15.14,0.175015,9.2,9.3
9.35,1.351,-13.81,0.203958,9.3,9.4
9.45,1.329,-14.27,0.193491,9.4,9.5
9.55,1.065,-14.39,0.190851,9.5,9.6
9.65,1.387,-14.92,0.179383,9.6,9.7
9.75,1.299,-13.56,0.209861,9.7,9.8
9.85,1.359,-12.52,0.236707,9.8,9.9
9.95,1.249,-13.3,0.216245,9.9,10.0
10.05,1.32,-13.03,0.222993,10.0,10.1
10.15,1.221,-13.4,0.213897,10.1,10.2
10.25,1.75,-13.15,0.220026,10.2,10.3
10.35,1.407,-16.71,0.146036,10.3,10.4
10.45,1.418,-15.4,0.169884,10.4,10.5
10.55,1.525,-16.36,0.151992,10.5,10.6
10.65,1.488,-16.42,0.150931,10.6,10.7
10.75,1.427,-16.12,0.156276,10.7,10.8
10.85,1.377,-16.46,0.150282,10.8,10.9
10.95,1.319,-15.82,0.161728,10.9,11.0
11.05,1.415,-15.67,0.164559,11.0,11.1
11.15,1.345,-15.84,0.161406,11.1,11.2
11.25,1.658,-15.95,0.159398,11.2,11.3
11.35,1.538,-14.93,0.179304,11.3,11.4
11.45,1.384,-14.87,0.180413,11.4,11.5
11.55,1.366,-14.68,0.184427,11.5,11.6
11.65,1.51,-15.01,0.177546,11.6,11.7
11.75,1.461,-15.19,0.173934,11.7,11.8
11.85,1.458,-15.51,0.167607,11.8,11.9
11.95,1.525,-15.86,0.160998,11.9,12.0
12.05,1.487,-16.02,0.158163,12.0,12.1
12.15,1.426,-15.86,0.161093,12.1,12.2
12.25,1.616,-15.94,0.159576,12.2,12.3
12.35,1.529,-15.82,0.161759,12.3,12.4
12.45,1.694,-16.05,0.157638,12.4,12.5
12.55,1.855,-15.92,0.160004,12.5,12.6
12.65,1.519,-15.79,0.162354,12.6,12.7
12.75,1.577,-15.6,0.166051,12.7,12.8
12.85,1.821,-16.27,0.153659,12.8,12.9
12.95,1.83,-15.81,0.162074,12.9,13.0
13.05,1.72,-16.72,0.145916,13.0,13.1
13.15,1.627,-16.71,0.146036,13.1,13.2
13.25,1.817,-16.76,0.145133,13.2,13.3
13.35,1.821,-16.95,0.142092,13.3,13.4
13.45,2.034,-15.84,0.161392,13.4,13.5
13.55,1.695,-15.09,0.176084,13.5,13.6
13.65,1.755,-14.63,0.185595,13.6,13.7
13.75,1.769,-14.56,0.187059,13.7,13.8
13.85,1.741,-14.93,0.179173,13.8,13.9
13.95,1.746,-15.11,0.175677,13.9,14.0
14.05,2.041,-15.32,0.171352,14.0,14.1
14.15,1.686,-14.96,0.178627,14.1,14.2
14.25,2.072,-14.39,0.190857,14.2,14.3
14.35,2.364,-14.8,0.182058,14.3,14.4
