t_event_s,force_N,audio_rms_dbfs,audio_rms_linear,window_start_s,window_end_s
0.05,0.294,-17.1,0.139659,0.0,0.1
0.15,0.463,-18.06,0.124972,0.1,0.2
0.25,0.543,-17.88,0.127587,0.2,0.3
0.35,0.628,-17.28,0.136714,0.3,0.4
0.45,0.803,-16.72,0.145854,0.4,0.5
0.55,0.589,-16.54,0.148976,0.5,0.6
0.65,0.444,-17.84,0.12827,0.6,0.7
0.75,0.419,-19.75,0.102955,0.7,0.8
0.85,0.376,-20.21,0.097556,0.8,0.9
0.95,0.411,-20.68,0.092492,0.9,1.0
1.05,0.447,-22.46,0.075377,1.0,1.1
1.15,0.423,-22.34,0.076348,1.1,1.2
1.25,0.587,-22.5,0.074971,1.2,1.3
1.35,0.418,-21.73,0.081981,1.3,1.4
1.45,0.486,-20.3,0.096645,1.4,1.5
1.55,0.784,-21.14,0.087711,1.5,1.6
1.65,0.702,-21.75,0.081714,1.6,1.7
1.75,0.909,-21.27,0.08641,1.7,1.8
1.85,0.5,-21.7,0.082191,1.8,1.9
1.95,0.66,-22.73,0.073046,1.9,2.0
2.05,0.717,-21.26,0.086523,2.0,2.1
2.15,0.464,-21.87,0.080592,2.1,2.2
2.25,0.592,-22.32,0.076545,2.2,2.3
2.35,0.517,-21.52,0.083935,2.3,2.4
2.45,0.595,-20.91,0.090058,2.4,2.5
2.55,0.593,-21.74,0.081886,2.5,2.6
2.65,0.56,-20.58,0.093537,2.6,2.7
2.75,0.578,-20.15,0.098287,2.7,2.8
2.85,0.534,-18.56,0.118088,2.8,2.9
2.95,0.716,-18.78,0.115042,2.9,3.0
3.05,0.958,-18.76,0.115388,3.0,3.1
3.15,0.721,-18.52,0.118596,3.1,3.2
3.25,0.774,-20.05,0.099477,3.2,3.3
3.35,0.59,-21.09,0.088157,3.3,3.4
3.45,0.776,-21.93,0.080058,3.4,3.5
3.55,0.615,-22.42,0.075656,3.5,3.6
3.65,1.044,-22.1,0.078524,3.6,3.7
3.75,0.633,-21.87,0.080675,3.7,3.8
3.85,0.613,-20.49,0.094558,3.8,3.9
3.95,0.745,-18.61,0.11731,3.9,4.0
4.05,0.884,-18.34,0.121098,4.0,4.1
4.15,0.617,-19.47,0.10626,4.1,4.2
4.25,0.857,-16.9,0.142863,4.2,4.3
4.35,0.741,-17.53,0.132839,4.3,4.4
4.45,0.71,-19.66,0.103969,4.4,4.5
4.55,0.858,-20.18,0.098,4.5,4.6
4.65,0.71,-21.26,0.086539,4.6,4.7
4.75,0.746,-21.96,0.079778,4.7,4.8
4.85,0.825,-22.41,0.075756,4.8,4.9
4.95,0.715,-22.81,0.072383,4.9,5.0
5.05,0.623,-23.84,0.064244,5.0,5.1
5.15,0.826,-24.05,0.062766,5.1,5.2
5.25,0.679,-24.58,0.059027,5.2,5.3
5.35,0.996,-23.75,0.064967,5.3,5.4
5.45,0.795,-23.36,0.067936,5.4,5.5
5.55,0.724,-24.33,0.06074,5.5,5.6
5.65,0.909,-23.65,0.065692,5.6,5.7
5.75,0.746,-23.42,0.067427,5.7,5.8
5.85,0.777,-23.14,0.069626,5.8,5.9
5.95,0.933,-22.09,0.078602,5.9,6.0
6.05,1.002,-21.38,0.085287,6.0,6.1
6.15,0.901,-21.18,0.087256,6.1,6.2
6.25,1.181,-21.86,0.080725,6.2,6.3
6.35,0.855,-23.2,0.069154,6.3,6.4
6.45,0.854,-22.47,0.075253,6.4,6.5
6.55,0.849,-22.24,0.077227,6.5,6.6
6.65,0.788,-21.46,0.084493,6.6,6.7
6.75,0.873,-20.82,0.090992,6.7,6.8
6.85,1.04,-20.53,0.094118,6.8,6.9
6.95,0.941,-21.09,0.088195,6.9,7.0
7.05,0.973,-21.3,0.086097,7.0,7.1
7.15,1.017,-20.57,0.093598,7.1,7.2
7.25,0.82,-21.36,0.085544,7.2,7.3
7.35,0.9,-20.9,0.090124,7.3,7.4
7.45,0.852,-20.25,0.097212,7.4,7.5
7.55,1.054,-20.28,0.096858,7.5,7.6
7.65,0.88,-21.65,0.082736,7.6,7.7
7.75,0.858,-21.43,0.084797,7.7,7.8
7.85,0.968,-21.65,0.082688,7.8,7.9
7.95,0.972,-20.42,0.09528,7.9,8.0
8.05,0.969,-20.43,0.095203,8.0,8.1
8.15,1.02,-19.83,0.101955,8.1,8.2
8.25,1.063,-19.38,0.107362,8.2,8.3
8.35,1.001,-18.74,0.115661,8.3,8.4
8.45,1.031,-17.2,0.138077,8.4,8.5
8.55,0.934,-16.1,0.156671,8.5,8.6
8.65,1.338,-15.19,0.173986,8.6,8.7
8.75,0.906,-13.47,0.212045,8.7,8.8
8.85,0.837,-14.68,0.184455,8.8,8.9
8.95,0.96,-15.15,0.174704,8.9,9.0
9.05,1.242,-15.22,0.173326,9.0,9.1
9.15,1.123,-15.25,0.172857,9.1,9.2
9.25,1.006,-14.99,0.177979,9.2,9.3
9.35,1.137,-13.76,0.205175,9.3,9.4
9.45,1.371,-11.96,0.252287,9.4,9.5
9.55,1.18,-9.56,0.332765,9.5,9.6
9.65,1.136,-7.94,0.400787,9.6,9.7
9.75,1.383,-9.23,0.345573,9.7,9.8
9.85,1.143,-10.92,0.284354,9.8,9.9
9.95,1.169,-10.49,0.2989,9.9,10.0
10.05,1.322,-11.61,0.262789,10.0,10.1
10.15,1.046,-11.47,0.266979,10.1,10.2
10.25,1.253,-10.48,0.29907,10.2,10.3
10.35,1.191,-11.49,0.266241,10.3,10.4
10.45,1.439,-13.27,0.216932,10.4,10.5
10.55,1.63,-14.02,0.199096,10.5,10.6
10.65,1.398,-15.39,0.170009,10.6,10.7
10.75,1.2,-15.98,0.158831,10.7,10.8
10.85,1.36,-14.16,0.195801,10.8,10.9
10.95,1.431,-13.85,0.202939,10.9,11.0
11.05,1.246,-14.27,0.193497,11.0,11.1
11.15,1.469,-14.96,0.178567,11.1,11.2
11.25,1.435,-13.61,0.208705,11.2,11.3
11.35,1.238,-13.11,0.220954,11.3,11.4
11.45,1.399,-12.64,0.233474,11.4,11.5
11.55,1.285,-13.56,0.209949,11.5,11.6
11.65,1.473,-13.01,0.223549,11.6,11.7
11.75,1.283,-13.53,0.210502,11.7,11.8
11.85,1.189,-16.56,0.148653,11.8,11.9
11.95,1.249,-15.47,0.168419,11.9,12.0
12.05,1.368,-16.25,0.154078,12.0,12.1
12.15,1.419,-16.28,0.153461,12.1,12.2
12.25,1.438,-16.14,0.155866,12.2,12.3
12.35,1.369,-16.29,0.153203,12.3,12.4
12.45,1.613,-16.08,0.157088,12.4,12.5
12.55,1.695,-16.13,0.156097,12.5,12.6
12.65,1.217,-16.25,0.154077,12.6,12.7
12.75,1.598,-16.56,0.148567,12.7,12.8
12.85,1.663,-15.3,0.17176,12.8,12.9
12.95,1.714,-14.98,0.178236,12.9,13.0
13.05,1.62,-14.59,0.186497,13.0,13.1
13.15,2.009,-15.38,0.170168,13.1,13.2
13.25,1.522,-15.22,0.173366,13.2,13.3
13.35,1.421,-15.51,0.167623,13.3,13.4
13.45,1.55,-15.9,0.160387,13.4,13.5
13.55,1.512,-15.54,0.167021,13.5,13.6
13.65,1.577,-15.82,0.161824,13.6,13.7
13.75,1.72,-16.05,0.157584,13.7,13.8
13.85,1.543,-15.94,0.15958,13.8,13.9
13.95,1.569,-16.26,0.153877,13.9,14.0
14.05,1.445,-15.95,0.159382,14.0,14.1
14.15,1.587,-15.78,0.162624,14.1,14.2
14.25,1.684,-15.51,0.16771,14.2,14.3
14.35,1.518,-15.82,0.161778,14.3,14.4
14.45,1.592,-16.02,0.158058,14.4,14.5
14.55,2.003,-16.61,0.147794,14.5,14.6
14.65,1.914,-16.82,0.144182,14.6,14.7
14.75,1.566,-17.01,0.141027,14.7,14.8
14.85,1.736,-16.63,0.147385,14.8,14.9
14.95,1.919,-15.92,0.159974,14.9,15.0
15.05,1.758,-15.52,0.16754,15.0,15.1
15.15,1.704,-14.67,0.184792,15.1,15.2
15.25,2.112,-14.57,0.186786,15.2,15.3
15.35,1.726,-14.52,0.187825,15.3,15.4
15.45,1.775,-15.06,0.176581,15.4,15.5
15.55,1.928,-15.11,0.175607,15.5,15.6
15.65,1.688,-14.77,0.182673,15.6,15.7
15.75,1.778,-14.26,0.193713,15.7,15.8
15.85,1.81,-14.44,0.18972,15.8,15.9
15.95,1.999,-14.94,0.179131,15.9,16.0
16.05,2.025,-14.99,0.178103,16.0,16.1
16.15,2.002,-14.71,0.183807,16.1,16.2
16.25,1.872,-14.97,0.178427,16.2,16.3
16.35,2.045,-15.48,0.168341,16.3,16.4
16.45,2.177,-15.88,0.160757,16.4,16.5
16.55,1.868,-15.56,0.166784,16.5,16.6
16.65,1.979,-15.47,0.168551,16.6,16.7
16.75,2.066,-15.6,0.165921,16.7,16.8
16.85,2.015,-15.73,0.163525,16.8,16.9
16.95,2.079,-15.59,0.166072,16.9,17.0
17.05,2.002,-15.61,0.16582,17.0,17.1
17.15,1.832,-15.09,0.175942,17.1,17.2
17.25,2.039,-14.98,0.178227,17.2,17.3
17.35,1.865,-15.01,0.177651,17.3,17.4
17.45,2.066,-15.29,0.172027,17.4,17.5
17.55,2.125,-15.07,0.176377,17.5,17.6
17.65,1.94,-14.97,0.178496,17.6,17.7
17.75,1.998,-14.62,0.185676,17.7,17.8
17.85,2.082,-14.62,0.185777,17.8,17.9
17.95,1.896,-14.68,0.184473,17.9,18.0
18.05,2.066,-14.88,0.180219,18.0,18.1
18.15,2.153,-15.4,0.169781,18.1,18.2
18.25,2.199,-15.49,0.16814,18.2,18.3
18.35,2.704,-15.94,0.159501,18.3,18.4
18.45,2.21,-15.83,0.161538,18.4,18.5
18.55,2.274,-16.14,0.155899,18.5,18.6
18.65,2.35,-15.91,0.160135,18.6,18.7
18.75,2.26,-15.99,0.158727,18.7,18.8
18.85,2.388,-16.21,0.154773,18.8,18.9
18.95,2.272,-15.85,0.161341,18.9,19.0
19.05,2.342,-15.71,0.163898,19.0,19.1
19.15,2.195,-15.48,0.168364,19.1,19.2
19.25,2.526,-15.16,0.174617,19.2,19.3
19.35,2.226,-14.98,0.178218,19.3,19.4
19.45,2.392,-15.42,0.169474,19.4,19.5
19.55,2.331,-15.27,0.172467,19.5,19.6
19.65,2.062,-15.62,0.165669,19.6,19.7
19.75,2.483,-15.49,0.168156,19.7,19.8
19.85,2.443,-15.38,0.170206,19.8,19.9
19.95,2.163,-15.13,0.175195,19.9,20.0
20.05,2.262,-14.92,0.179546,20.0,20.1
20.15,2.488,-15.05,0.17676,20.1,20.2
20.25,2.4,-14.8,0.182013,20.2,20.3
20.35,2.602,-14.66,0.184926,20.3,20.4
20.45,2.569,-14.34,0.191804,20.4,20.5
20.55,2.624,-14.07,0.197997,20.5,20.6
20.65,2.488,-13.57,0.209593,20.6,20.7
20.75,2.413,-13.77,0.204795,20.7,20.8
20.85,2.645,-13.55,0.210187,20.8,20.9
20.95,2.456,-13.71,0.206382,20.9,21.0
21.05,2.668,-13.71,0.206232,21.0,21.1
21.15,2.577,-13.98,0.199942,21.1,21.2
21.25,2.578,-14.16,0.195845,21.2,21.3
21.35,2.819,-14.27,0.193437,21.3,21.4
21.45,2.712,-14.01,0.199309,21.4,21.5
21.55,2.467,-13.9,0.201821,21.5,21.6
21.65,2.58,-13.86,0.202729,21.6,21.7
21.75,2.679,-14.01,0.199341,21.7,21.8
21.85,2.873,-13.49,0.211481,21.8,21.9
21.95,2.702,-13.27,0.217007,21.9,22.0
22.05,2.806,-12.8,0.228991,22.0,22.1
22.15,2.824,-12.22,0.245006,22.1,22.2
22.25,2.734,-12.22,0.244781,22.2,22.3
22.35,2.715,-12.14,0.247204,22.3,22.4
22.45,2.641,-11.98,0.251753,22.4,22.5
22.55,2.779,-12.47,0.237945,22.5,22.6
22.65,2.857,-12.23,0.24469,22.6,22.7
22.75,2.709,-12.36,0.241086,22.7,22.8
22.85,2.964,-12.25,0.244059,22.8,22.9
22.95,3.101,-12.19,0.245806,22.9,23.0
23.05,2.714,-12.27,0.243406,23.0,23.1
23.15,2.808,-12.09,0.248543,23.1,23.2
23.25,2.921,-12.17,0.24625,23.2,23.3
23.35,2.726,-12.25,0.244173,23.3,23.4
23.45,2.784,-12.05,0.24987,23.4,23.5
23.55,2.73,-12.05,0.249755,23.5,23.6
23.65,2.718,-12.08,0.248743,23.6,23.7
23.75,2.776,-12.14,0.247269,23.7,23.8
23.85,2.946,-12.03,0.250314,23.8,23.9
23.95,2.89,-12.05,0.249777,23.9,24.0
24.05,2.691,-12.54,0.236002,24.0,24.1
24.15,2.984,-13.47,0.212194,24.1,24.2
24.25,3.016,-13.16,0.219797,24.2,24.3
24.35,2.954,-12.85,0.227799,24.3,24.4
24.45,2.774,-12.68,0.232141,24.4,24.5
24.55,2.873,-12.49,0.23748,24.5,24.6
24.65,2.794,-12.33,0.241907,24.6,24.7
24.75,2.893,-12.62,0.233912,24.7,24.8
24.85,3.075,-12.55,0.235744,24.8,24.9
24.95,2.67,-12.59,0.234763,24.9,25.0
25.05,2.904,-12.36,0.24097,25.0,25.1
25.15,2.854,-12.4,0.23975,25.1,25.2
25.25,2.955,-12.07,0.249272,25.2,25.3
25.35,3.085,-12.76,0.230206,25.3,25.4
25.45,2.77,-12.65,0.233164,25.4,25.5
25.55,2.877,-12.45,0.238466,25.5,25.6
25.65,2.788,-12.5,0.237084,25.6,25.7
25.75,2.827,-12.25,0.244124,25.7,25.8
25.85,3.008,-12.21,0.245313,25.8,25.9
25.95,2.94,-12.72,0.231254,25.9,26.0
26.05,2.818,-12.38,0.240555,26.0,26.1
26.15,3.01,-13.11,0.220943,26.1,26.2
26.25,2.803,-12.89,0.226638,26.2,26.3
26.35,2.953,-12.63,0.233554,26.3,26.4
26.45,2.755,-12.52,0.236487,26.4,26.5
26.55,2.721,-12.24,0.244445,26.5,26.6
26.65,2.751,-12.58,0.23495,26.6,26.7
26.75,2.918,-12.88,0.227051,26.7,26.8
26.85,2.667,-12.69,0.232105,26.8,26.9
26.95,2.722,-12.5,0.237084,26.9,27.0
27.05,2.728,-12.35,0.241231,27.0,27.1
27.15,2.759,-12.18,0.24593,27.1,27.2
27.25,2.665,-12.26,0.243867,27.2,27.3
27.35,2.852,-12.25,0.243988,27.3,27.4
27.45,2.748,-12.12,0.247712,27.4,27.5
27.55,2.857,-12.17,0.246449,27.5,27.6
27.65,2.905,-12.17,0.246305,27.6,27.7
27.75,3.096,-12.11,0.248167,27.7,27.8
27.85,3.061,-12.0,0.251254,27.8,27.9
27.95,2.741,-11.99,0.251525,27.9,28.0
28.05,2.737,-12.04,0.249937,28.0,28.1
28.15,2.837,-12.04,0.249934,28.1,28.2
28.25,2.808,-12.0,0.251215,28.2,28.3
28.35,2.717,-11.98,0.251862,28.3,28.4
28.45,2.902,-12.16,0.24666,28.4,28.5
28.55,2.757,-13.12,0.220808,28.5,28.6
28.65,2.807,-13.06,0.222301,28.6,28.7
28.75,2.832,-12.52,0.236467,28.7,28.8
28.85,2.749,-12.69,0.232009,28.8,28.9
28.95,2.882,-12.38,0.240365,28.9,29.0
29.05,2.738,-12.87,0.22728,29.0,29.1
29.15,1.859,-17.07,0.140059,29.1,29.2
29.25,1.351,-18.14,0.123885,29.2,29.3
29.35,0.875,-14.15,0.196139,29.3,29.4
29.45,0.781,-22.06,0.078878,29.4,29.5
29.55,0.485,-21.26,0.086459,29.5,29.6
29.65,0.384,-19.79,0.102455,29.6,29.7
29.75,0.305,-19.61,0.104624,29.7,29.8
29.85,0.31,-22.79,0.072563,29.8,29.9
29.95,0.145,-21.7,0.082252,29.9,30.0
30.05,0.194,-19.86,0.101648,30.0,30.1
