t_event_s,force_N,audio_rms_dbfs,audio_rms_linear,window_start_s,window_end_s
0.05,0.424,-20.19,0.097878,0.0,0.1
0.15,0.815,-20.91,0.090011,0.1,0.2
0.25,0.459,-20.55,0.093833,0.2,0.3
0.35,0.733,-20.83,0.09091,0.3,0.4
0.45,0.542,-20.24,0.097277,0.4,0.5
0.55,0.437,-21.52,0.08397,0.5,0.6
0.65,0.677,-21.76,0.081654,0.6,0.7
0.75,0.644,-21.73,0.081917,0.7,0.8
0.85,0.68,-21.92,0.080193,0.8,0.9
0.95,0.75,-21.81,0.081185,0.9,1.0
1.05,0.753,-21.76,0.081698,1.0,1.1
1.15,0.5,-21.61,0.083128,1.1,1.2
1.25,0.516,-21.43,0.08486,1.2,1.3
1.35,0.536,-21.2,0.087119,1.3,1.4
1.45,0.631,-18.89,0.113646,1.4,1.5
1.55,0.669,-18.53,0.118405,1.5,1.6
1.65,0.555,-19.09,0.11102,1.6,1.7
1.75,0.521,-18.68,0.116382,1.7,1.8
1.85,0.759,-18.66,0.116668,1.8,1.9
1.95,0.673,-19.98,0.100215,1.9,2.0
2.05,0.953,-21.7,0.082231,2.0,2.1
2.15,0.694,-22.48,0.075199,2.1,2.2
2.25,0.59,-23.43,0.067399,2.2,2.3
2.35,0.687,-23.45,0.067192,2.3,2.4
2.45,0.71,-21.22,0.086935,2.4,2.5
2.55,0.746,-18.95,0.112869,2.5,2.6
2.65,0.834,-18.55,0.118143,2.6,2.7
2.75,0.667,-18.57,0.117962,2.7,2.8
2.85,1.063,-19.29,0.108517,2.8,2.9
2.95,0.773,-16.29,0.153212,2.9,3.0
3.05,0.777,-18.01,0.125719,3.0,3.1
3.15,0.729,-19.93,0.100756,3.1,3.2
3.25,0.648,-20.72,0.092039,3.2,3.3
3.35,0.657,-20.89,0.090253,3.3,3.4
3.45,0.726,-21.08,0.088275,3.4,3.5
3.55,0.813,-21.66,0.082607,3.5,3.6
3.65,0.714,-22.44,0.075539,3.6,3.7
3.75,0.797,-23.67,0.065519,3.7,3.8
3.85,0.947,-23.18,0.069368,3.8,3.9
3.95,0.805,-23.43,0.067339,3.9,4.0
4.05,0.783,-23.13,0.069742,4.0,4.1
4.15,0.672,-22.48,0.075133,4.1,4.2
4.25,0.892,-22.8,0.072428,4.2,4.3
4.35,0.852,-23.02,0.070646,4.3,4.4
4.45,0.868,-22.11,0.078455,4.4,4.5
4.55,0.973,-22.33,0.076511,4.5,4.6
4.65,1.07,-20.55,0.093897,4.6,4.7
4.75,0.754,-19.74,0.103035,4.7,4.8
4.85,0.795,-21.26,0.086481,4.8,4.9
4.95,0.94,-20.76,0.091672,4.9,5.0
5.05,0.89,-21.44,0.084713,5.0,5.1
5.15,0.968,-21.4,0.085111,5.1,5.2
5.25,0.784,-21.17,0.087349,5.2,5.3
5.35,0.861,-20.07,0.099207,5.3,5.4
5.45,0.825,-20.56,0.093782,5.4,5.5
5.55,0.693,-19.96,0.10049,5.5,5.6
