1.629;0.242;0.01;0.85;24.2;4105;29.4;-79.2;5.1;0;0;0
1.65;1.446;0.06;1.52;24.1;4198;29.4;-79;5.8;0;0;0
1.68;0.241;0.01;0.93;24.1;4227;29.4;-78.6;5.4;0;0;0
1.709;0.964;0.04;1.37;24.1;4310;29.4;-80.1;5.6;0;0;0
1.718;0.482;0.02;1.4;24.1;4335;29.4;-80.3;5.6;0;0;0
1.739;1.446;0.06;1.66;24.1;4375;29.4;-80.8;5.8;0;0;0
1.77;0.241;0.01;0.82;24.1;4398;29.4;-81.5;5.9;0;0;0
1.799;1.205;0.05;1.12;24.1;4521;29.5;-82.1;6;0;0;0
1.818;0.241;0.01;0.5;24.1;4531;29.5;-83.4;5.6;0;0;0
1.828;2.169;0.09;1.67;24.1;4531;29.4;-83.4;6.5;0;0;0
1.859;0.482;0.02;0.87;24.1;4602;29.5;-83.5;6;0;0;0
1.899;0.96;0.04;1.06;24;4721;29.5;-84.2;6.2;0;0;0
1.905;0.482;0.02;1.26;24.1;4735;29.5;-84.4;5.8;0;0;0
1.921;1.936;0.08;1.54;24.2;4765;29.5;-84.3;6.6;0;0;0
1.953;0.242;0.01;0.92;24.2;4837;29.5;-84.1;6;0;0;0
1.985;1.205;0.05;1.23;24.1;4935;29.5;-84.5;6.4;0;0;0
1.999;0.241;0.01;1.08;24.1;4940;29.5;-84.6;6.2;0;0;0
2.017;0.482;0.02;0.79;24.1;4897;29.5;-84.6;6.3;0;0;0
2.048;0.723;0.03;1.14;24.1;4894;29.6;-83.9;6.1;0;0;0
2.079;1.21;0.05;1.53;24.2;4988;29.5;-82.3;6.7;0;0;0
2.096;0.482;0.02;1.22;24.1;5034;29.5;-81;6.2;0;0;0
2.109;2.41;0.1;1.86;24.1;5045;29.5;-80.8;7;0;0;0
2.14;0.482;0.02;0.99;24.1;5134;29.5;-80.2;6.6;0;0;0
2.178;0.964;0.04;1.4;24.1;5223;29.5;-79.3;6.6;0;0;0
2.19;0.482;0.02;0.8;24.1;5226;29.5;-79.3;6.4;0;0;0
2.209;1.936;0.08;1.79;24.2;5302;29.5;-79;7;0;0;0
2.239;0.242;0.01;0.31;24.2;5342;29.5;-80.4;6.8;0;0;0
2.269;1.446;0.06;1.54;24.1;5394;29.6;-81.5;7.1;0;0;0
2.288;0.482;0.02;1.37;24.1;5431;29.6;-81.5;6.6;0;0;0
2.299;2.892;0.12;2;24.1;5435;29.6;-81.6;7.6;0;0;0
2.329;0.482;0.02;0.51;24.1;5533;29.5;-83.6;7.1;0;0;0
2.358;1.21;0.05;1.36;24.2;5645;29.5;-83.3;7.2;0;0;0
2.378;0.242;0.01;0.58;24.2;5615;29.6;-83.5;7.3;0;0;0
2.389;2.892;0.12;1.89;24.1;5649;29.6;-83.8;7.9;0;0;0
2.429;0.484;0.02;0.86;24.2;5708;29.6;-83.7;7.5;0;0;0
2.459;1.446;0.06;1.43;24.1;5801;29.5;-83.5;7.7;0;0;0
2.468;0.482;0.02;1.01;24.1;5806;29.5;-83.9;7.5;0;0;0
2.489;1.687;0.07;1.5;24.1;5899;29.5;-82.5;7.8;0;0;0
2.519;0.241;0.01;0.4;24.1;5902;29.5;-81.4;7.5;0;0;0
2.549;1.68;0.07;1.36;24;6001;29.5;-80.4;7.9;0;0;0
2.568;0.241;0.01;0.45;24.1;6015;29.5;-79.8;7.7;0;0;0
2.579;3.374;0.14;1.83;24.1;6046;29.5;-79.6;8.4;0;0;0
2.61;0.723;0.03;1.19;24.1;6152;29.6;-80.2;7.6;0;0;0
2.641;1.446;0.06;1.25;24.1;6229;29.6;-82;7.8;0;0;0
2.657;0.241;0.01;0.24;24.1;6234;29.6;-81.6;7.8;0;0;0
2.672;2.651;0.11;1.93;24.1;6258;29.6;-81.4;8.5;0;0;0
2.704;0.241;0.01;0.57;24.1;6315;29.6;-80.8;8.1;0;0;0
2.737;1.446;0.06;1.34;24.1;6412;29.6;-79.7;8.2;0;0;0
2.749;0.241;0.01;0.12;24.1;6428;29.6;-79.7;8.4;0;0;0
2.768;0.726;0.03;0.68;24.2;6416;29.6;-79.3;8.2;0;0;0
2.799;0.964;0.04;1.27;24.1;6391;29.6;-79.1;8.1;0;0;0
2.829;1.687;0.07;1.47;24.1;6503;29.6;-78.5;8.4;0;0;0
2.847;0.484;0.02;0.15;24.2;6527;29.6;-78.4;8.2;0;0;0
2.86;3.133;0.13;1.71;24.1;6559;29.6;-78.3;9;0;0;0
2.89;0.482;0.02;1.05;24.1;6647;29.6;-78.2;8.2;0;0;0
2.929;0.964;0.04;0.78;24.1;6725;29.6;-77.7;8.7;0;0;0
2.938;0.482;0.02;0.33;24.1;6716;29.6;-77.6;8.6;0;0;0
2.959;2.41;0.1;1.61;24.1;6801;29.6;-77.6;8.9;0;0;0
2.989;0.482;0.02;0.36;24.1;6822;29.7;-80.1;8.6;0;0;0
3.018;1.694;0.07;1.45;24.2;6939;29.7;-81.8;8.7;0;0;0
3.039;0.482;0.02;0.28;24.1;6929;29.6;-82.6;8.6;0;0;0
3.048;3.6;0.15;1.83;24;6939;29.6;-83;9.5;0;0;0
3.08;0.723;0.03;0.81;24.1;7042;29.5;-81.1;8.8;0;0;0
3.109;1.44;0.06;1.02;24;7128;29.6;-79.4;9.4;0;0;0
3.128;0.484;0.02;0.35;24.2;7138;29.7;-81;9.1;0;0;0
3.14;3.36;0.14;1.84;24;7163;29.6;-80.7;9.7;0;0;0
3.179;0.48;0.02;0.35;24;7219;29.6;-79.8;9.1;0;0;0
3.209;1.687;0.07;1.27;24.1;7315;29.6;-79;9.4;0;0;0
3.218;0.24;0.01;0.42;24;7314;29.7;-78.8;9.3;0;0;0
3.238;2.42;0.1;1.65;24.2;7388;29.6;-78.4;9.8;0;0;0
3.269;0.482;0.02;0.64;24.1;7409;29.7;-80.2;9.4;0;0;0
3.297;2.169;0.09;1.48;24.1;7520;29.7;-81.8;9.6;0;0;0
