t_event_s,force_N,audio_rms_dbfs,audio_rms_linear,window_start_s,window_end_s
12.15,1.546,-15.53,0.167376,12.1,12.2
12.25,1.397,-16.49,0.149776,12.2,12.3
12.35,1.467,-16.71,0.146029,12.3,12.4
12.45,1.585,-16.25,0.154045,12.4,12.5
12.55,1.445,-16.33,0.152498,12.5,12.6
12.65,1.553,-17.05,0.140447,12.6,12.7
12.75,1.61,-16.88,0.143199,12.7,12.8
12.85,1.521,-16.56,0.148524,12.8,12.9
12.95,1.663,-16.33,0.152638,12.9,13.0
13.05,1.497,-16.53,0.149052,13.0,13.1
13.15,1.646,-16.1,0.156733,13.1,13.2
13.25,1.746,-16.91,0.14267,13.2,13.3
13.35,1.641,-16.67,0.146681,13.3,13.4
13.45,1.376,-16.93,0.142364,13.4,13.5
13.55,1.629,-17.15,0.138846,13.5,13.6
13.65,1.867,-16.99,0.141399,13.6,13.7
13.75,1.754,-15.85,0.161194,13.7,13.8
13.85,1.628,-16.03,0.157861,13.8,13.9
13.95,1.655,-14.98,0.178148,13.9,14.0
14.05,1.697,-14.35,0.191546,14.0,14.1
14.15,1.549,-14.69,0.184347,14.1,14.2
14.25,1.666,-15.08,0.176238,14.2,14.3
14.35,1.811,-14.61,0.186098,14.3,14.4
14.45,1.713,-13.85,0.202963,14.4,14.5
14.55,1.988,-13.86,0.202843,14.5,14.6
14.65,2.133,-14.13,0.196661,14.6,14.7
14.75,1.732,-14.6,0.186188,14.7,14.8
14.85,1.809,-14.64,0.18536,14.8,14.9
14.95,1.827,-14.8,0.18199,14.9,15.0
15.05,1.853,-14.73,0.183485,15.0,15.1
15.15,1.671,-15.1,0.175792,15.1,15.2
15.25,1.931,-15.63,0.165481,15.2,15.3
15.35,1.971,-15.34,0.170952,15.3,15.4
15.45,1.916,-15.7,0.16399,15.4,15.5
15.55,1.78,-15.66,0.164826,15.5,15.6
15.65,1.986,-15.45,0.168756,15.6,15.7
15.75,1.952,-15.64,0.165133,15.7,15.8
15.85,2.037,-15.32,0.171329,15.8,15.9
15.95,2.058,-15.13,0.175207,15.9,16.0
16.05,2.286,-15.31,0.17163,16.0,16.1
16.15,1.953,-15.32,0.171416,16.1,16.2
16.25,2.192,-15.35,0.170831,16.2,16.3
16.35,2.22,-15.3,0.171865,16.3,16.4
16.45,1.917,-14.96,0.178714,16.4,16.5
16.55,2.3,-14.4,0.190513,16.5,16.6
16.65,2.034,-14.38,0.19089,16.6,16.7
16.75,1.937,-14.87,0.180469,16.7,16.8
16.85,2.172,-14.89,0.180094,16.8,16.9
16.95,2.028,-15.12,0.175448,16.9,17.0
17.05,2.029,-15.33,0.17128,17.0,17.1
17.15,2.305,-15.69,0.164159,17.1,17.2
17.25,2.363,-15.66,0.164744,17.2,17.3
17.35,2.176,-15.86,0.160984,17.3,17.4
17.45,2.244,-16.14,0.155946,17.4,17.5
17.55,2.265,-15.76,0.162876,17.5,17.6
17.65,2.227,-15.63,0.165479,17.6,17.7
17.75,2.299,-15.83,0.161651,17.7,17.8
17.85,2.223,-15.75,0.163024,17.8,17.9
17.95,2.303,-15.14,0.175048,17.9,18.0
18.05,2.246,-15.32,0.171454,18.0,18.1
18.15,2.445,-14.86,0.180736,18.1,18.2
18.25,2.28,-15.07,0.176437,18.2,18.3
18.35,2.506,-15.06,0.176595,18.3,18.4
18.45,2.314,-15.29,0.172012,18.4,18.5
18.55,2.08,-15.28,0.172148,18.5,18.6
18.65,2.339,-15.28,0.172277,18.6,18.7
18.75,2.484,-15.24,0.172982,18.7,18.8
18.85,2.535,-15.03,0.177158,18.8,18.9
18.95,2.379,-14.93,0.179357,18.9,19.0
19.05,2.375,-14.74,0.183297,19.0,19.1
19.15,2.236,-14.54,0.187458,19.1,19.2
19.25,2.45,-13.89,0.202037,19.2,19.3
19.35,2.621,-14.01,0.199406,19.3,19.4
19.45,2.714,-13.51,0.211108,19.4,19.5
19.55,2.679,-13.67,0.207267,19.5,19.6
19.65,2.471,-13.75,0.205321,19.6,19.7
19.75,2.543,-13.78,0.204722,19.7,19.8
19.85,2.564,-13.78,0.204759,19.8,19.9
19.95,2.714,-14.14,0.196406,19.9,20.0
20.05,2.583,-14.07,0.197986,20.0,20.1
20.15,2.687,-14.36,0.191446,20.1,20.2
20.25,2.698,-14.35,0.191638,20.2,20.3
20.35,2.68,-14.16,0.1958,20.3,20.4
20.45,2.575,-13.69,0.206688,20.4,20.5
20.55,2.817,-13.61,0.208602,20.5,20.6
20.65,2.79,-13.68,0.206966,20.6,20.7
20.75,2.932,-12.95,0.225082,20.7,20.8
20.85,2.652,-12.44,0.238836,20.8,20.9
20.95,2.697,-12.24,0.244337,20.9,21.0
21.05,2.782,-11.53,0.265075,21.0,21.1
21.15,2.846,-11.53,0.265167,21.1,21.2
21.25,2.779,-12.74,0.230604,21.2,21.3
21.35,2.81,-13.01,0.223706,21.3,21.4
21.45,2.952,-12.7,0.231668,21.4,21.5
21.55,2.685,-12.42,0.239311,21.5,21.6
21.65,2.696,-12.33,0.241915,21.6,21.7
21.75,2.958,-12.24,0.244443,21.7,21.8
21.85,2.982,-12.16,0.246662,21.8,21.9
21.95,2.921,-12.06,0.24939,21.9,22.0
22.05,2.892,-12.25,0.244095,22.0,22.1
22.15,2.874,-13.5,0.211304,22.1,22.2
22.25,2.892,-13.08,0.221803,22.2,22.3
22.35,2.713,-12.71,0.231407,22.3,22.4
22.45,2.504,-12.64,0.233409,22.4,22.5
22.55,2.716,-12.27,0.243586,22.5,22.6
22.65,2.598,-12.12,0.247663,22.6,22.7
22.75,2.534,-11.95,0.252547,22.7,22.8
22.85,2.845,-12.6,0.234442,22.8,22.9
22.95,2.728,-12.8,0.229113,22.9,23.0
23.05,2.515,-13.28,0.216864,23.0,23.1
23.15,2.733,-12.9,0.226449,23.1,23.2
23.25,2.867,-12.58,0.234893,23.2,23.3
23.35,2.749,-12.37,0.24074,23.3,23.4
23.45,2.605,-12.18,0.24606,23.4,23.5
23.55,2.79,-12.08,0.248912,23.5,23.6
23.65,2.585,-12.13,0.247553,23.6,23.7
23.75,2.842,-12.04,0.24993,23.7,23.8
