t_event_s,force_N,audio_rms_dbfs,audio_rms_linear,window_start_s,window_end_s
0.05,0.596,-21.16,0.087495,0.0,0.1
0.15,0.494,-20.54,0.093956,0.1,0.2
0.25,0.401,-21.04,0.088724,0.2,0.3
0.35,0.594,-19.82,0.102122,0.3,0.4
0.45,0.671,-18.69,0.116306,0.4,0.5
0.55,0.584,-18.98,0.112481,0.5,0.6
0.65,0.575,-21.31,0.086016,0.6,0.7
0.75,0.477,-19.38,0.107379,0.7,0.8
0.85,0.37,-18.21,0.122948,0.8,0.9
0.95,0.479,-17.86,0.127945,0.9,1.0
1.05,0.509,-19.19,0.109826,1.0,1.1
1.15,0.473,-17.81,0.128728,1.1,1.2
1.25,0.556,-17.77,0.129268,1.2,1.3
1.35,0.543,-17.2,0.137976,1.3,1.4
1.45,0.546,-18.44,0.119634,1.4,1.5
1.55,0.665,-18.78,0.11508,1.5,1.6
1.65,0.675,-18.32,0.121271,1.6,1.7
1.75,0.802,-16.76,0.145222,1.7,1.8
1.85,0.757,-16.09,0.15691,1.8,1.9
1.95,0.571,-14.91,0.179729,1.9,2.0
2.05,0.572,-14.95,0.178811,2.0,2.1
2.15,0.688,-17.98,0.12619,2.1,2.2
2.25,0.606,-19.71,0.103448,2.2,2.3
2.35,0.512,-20.73,0.091974,2.3,2.4
2.45,0.923,-22.55,0.074586,2.4,2.5
2.55,0.703,-21.72,0.082009,2.5,2.6
2.65,0.497,-21.7,0.082182,2.6,2.7
2.75,0.686,-21.4,0.085141,2.7,2.8
2.85,0.607,-20.42,0.095331,2.8,2.9
2.95,0.729,-20.67,0.092534,2.9,3.0
3.05,0.785,-20.99,0.08926,3.0,3.1
3.15,0.749,-20.88,0.090336,3.1,3.2
3.25,0.665,-21.86,0.080769,3.2,3.3
3.35,0.725,-22.02,0.079293,3.3,3.4
3.45,0.937,-21.45,0.0846,3.4,3.5
3.55,0.917,-21.43,0.084832,3.5,3.6
3.65,0.651,-21.1,0.088092,3.6,3.7
3.75,0.692,-20.88,0.090347,3.7,3.8
3.85,0.738,-21.72,0.082009,3.8,3.9
3.95,0.903,-21.97,0.079674,3.9,4.0
4.05,1.084,-21.29,0.086241,4.0,4.1
4.15,0.654,-20.12,0.098637,4.1,4.2
4.25,0.792,-19.74,0.103051,4.2,4.3
4.35,0.739,-19.21,0.10947,4.3,4.4
4.45,0.901,-18.61,0.117365,4.4,4.5
4.55,0.825,-18.4,0.120243,4.5,4.6
4.65,0.824,-19.47,0.106327,4.6,4.7
4.75,0.699,-21.42,0.084931,4.7,4.8
4.85,0.838,-22.16,0.078008,4.8,4.9
4.95,1.046,-22.69,0.073381,4.9,5.0
5.05,1.004,-22.25,0.077212,5.0,5.1
5.15,0.941,-22.44,0.075485,5.1,5.2
5.25,0.928,-20.89,0.090311,5.2,5.3
5.35,0.885,-19.64,0.104197,5.3,5.4
5.45,0.883,-19.72,0.103224,5.4,5.5
5.55,0.948,-21.12,0.087938,5.5,5.6
5.65,1.085,-20.29,0.096706,5.6,5.7
5.75,0.907,-19.85,0.101753,5.7,5.8
5.85,0.887,-20.22,0.097488,5.8,5.9
5.95,0.942,-20.68,0.09242,5.9,6.0
6.05,0.939,-21.76,0.081673,6.0,6.1
6.15,0.953,-20.49,0.094472,6.1,6.2
6.25,1.18,-21.79,0.081394,6.2,6.3
6.35,0.93,-21.98,0.07966,6.3,6.4
6.45,0.976,-23.9,0.063848,6.4,6.5
6.55,1.042,-23.91,0.063747,6.5,6.6
6.65,1.033,-24.16,0.06195,6.6,6.7
6.75,1.117,-23.23,0.068962,6.7,6.8
6.85,1.004,-24.05,0.062755,6.8,6.9
6.95,1.059,-23.74,0.065042,6.9,7.0
7.05,1.085,-24.52,0.059401,7.0,7.1
7.15,1.16,-24.41,0.06016,7.1,7.2
7.25,1.046,-24.15,0.06199,7.2,7.3
7.35,1.229,-23.1,0.069946,7.3,7.4
7.45,1.02,-21.2,0.087066,7.4,7.5
7.55,1.313,-21.93,0.080043,7.5,7.6
7.65,0.997,-23.29,0.068485,7.6,7.7
7.75,1.157,-22.77,0.072654,7.7,7.8
7.85,1.085,-21.92,0.080159,7.8,7.9
7.95,1.335,-22.13,0.078285,7.9,8.0
8.05,1.323,-22.27,0.077005,8.0,8.1
8.15,1.392,-22.06,0.07886,8.1,8.2
8.25,1.278,-21.07,0.088385,8.2,8.3
8.35,1.204,-21.04,0.088756,8.3,8.4
8.45,1.186,-20.99,0.089262,8.4,8.5
8.55,1.335,-21.95,0.079852,8.5,8.6
8.65,1.158,-22.05,0.078985,8.6,8.7
8.75,1.251,-21.53,0.083897,8.7,8.8
8.85,1.205,-21.65,0.082714,8.8,8.9
8.95,1.113,-22.4,0.075838,8.9,9.0
9.05,1.323,-21.97,0.079749,9.0,9.1
9.15,1.33,-21.68,0.08241,9.1,9.2
9.25,1.382,-19.9,0.101214,9.2,9.3
9.35,1.375,-19.99,0.100077,9.3,9.4
9.45,1.519,-20.56,0.093726,9.4,9.5
9.55,1.425,-19.93,0.100807,9.5,9.6
9.65,1.384,-19.4,0.107148,9.6,9.7
9.75,1.529,-18.35,0.120917,9.7,9.8
9.85,1.289,-17.54,0.132759,9.8,9.9
9.95,1.361,-16.17,0.155428,9.9,10.0
10.05,1.66,-14.69,0.18435,10.0,10.1
10.15,1.358,-14.11,0.196948,10.1,10.2
10.25,1.4,-14.79,0.18215,10.2,10.3
10.35,1.476,-14.88,0.180233,10.3,10.4
10.45,1.591,-15.2,0.173751,10.4,10.5
10.55,1.508,-14.84,0.181062,10.5,10.6
10.65,1.616,-14.03,0.19888,10.6,10.7
10.75,1.821,-13.26,0.217394,10.7,10.8
10.85,1.381,-12.2,0.245401,10.8,10.9
10.95,1.445,-11.29,0.272475,10.9,11.0
11.05,1.7,-11.1,0.278581,11.0,11.1
11.15,1.807,-13.12,0.220675,11.1,11.2
11.25,1.671,-12.59,0.234782,11.2,11.3
11.35,1.737,-10.9,0.285211,11.3,11.4
11.45,1.546,-10.16,0.310634,11.4,11.5
11.55,1.603,-9.32,0.342092,11.5,11.6
11.65,1.628,-9.53,0.333663,11.6,11.7
11.75,1.57,-9.16,0.348334,11.7,11.8
11.85,1.689,-11.99,0.251354,11.8,11.9
11.95,1.595,-13.56,0.209892,11.9,12.0
12.05,2.145,-14.0,0.199461,12.0,12.1
12.15,1.71,-14.28,0.193267,12.1,12.2
12.25,1.714,-13.17,0.219565,12.2,12.3
12.35,1.746,-12.68,0.232158,12.3,12.4
12.45,1.774,-13.49,0.211521,12.4,12.5
12.55,1.739,-14.15,0.196116,12.5,12.6
12.65,1.677,-13.63,0.208243,12.6,12.7
12.75,1.686,-13.13,0.220644,12.7,12.8
12.85,1.668,-16.42,0.150924,12.8,12.9
12.95,1.629,-16.59,0.148161,12.9,13.0
13.05,1.704,-17.3,0.136473,13.0,13.1
13.15,1.877,-16.23,0.154286,13.1,13.2
13.25,1.974,-16.66,0.146843,13.2,13.3
13.35,1.858,-15.86,0.161146,13.3,13.4
13.45,1.756,-15.34,0.170956,13.4,13.5
13.55,1.84,-15.56,0.166768,13.5,13.6
13.65,1.928,-15.96,0.159271,13.6,13.7
13.75,1.733,-15.97,0.159118,13.7,13.8
13.85,1.864,-15.33,0.171103,13.8,13.9
13.95,1.883,-15.51,0.167731,13.9,14.0
14.05,2.098,-15.89,0.160497,14.0,14.1
14.15,1.879,-16.62,0.147489,14.1,14.2
14.25,2.029,-16.21,0.154765,14.2,14.3
14.35,2.25,-16.13,0.156219,14.3,14.4
14.45,2.045,-16.17,0.155394,14.4,14.5
14.55,1.892,-16.21,0.154723,14.5,14.6
14.65,2.013,-16.38,0.151785,14.6,14.7
14.75,1.893,-15.96,0.159206,14.7,14.8
14.85,2.171,-15.65,0.165044,14.8,14.9
14.95,2.193,-16.31,0.152993,14.9,15.0
15.05,2.243,-15.65,0.165098,15.0,15.1
15.15,2.021,-15.8,0.162243,15.1,15.2
15.25,2.14,-15.98,0.158942,15.2,15.3
15.35,2.318,-16.34,0.152443,15.3,15.4
15.45,2.239,-16.54,0.148978,15.4,15.5
15.55,2.196,-16.44,0.150681,15.5,15.6
15.65,2.209,-16.2,0.154828,15.6,15.7
15.75,2.272,-16.2,0.154965,15.7,15.8
15.85,2.097,-16.22,0.154457,15.8,15.9
15.95,2.214,-16.2,0.154817,15.9,16.0
16.05,2.161,-15.44,0.16913,16.0,16.1
16.15,2.225,-15.27,0.172328,16.1,16.2
16.25,2.408,-14.27,0.193365,16.2,16.3
16.35,2.12,-13.63,0.208272,16.3,16.4
16.45,2.266,-13.57,0.209648,16.4,16.5
16.55,2.26,-13.25,0.2175,16.5,16.6
16.65,2.409,-13.67,0.2072,16.6,16.7
16.75,2.355,-13.93,0.201069,16.7,16.8
16.85,2.407,-14.29,0.193069,16.8,16.9
16.95,2.398,-14.01,0.199243,16.9,17.0
17.05,2.324,-13.92,0.201319,17.0,17.1
17.15,2.276,-13.77,0.204986,17.1,17.2
17.25,2.47,-14.27,0.19332,17.2,17.3
17.35,2.638,-14.69,0.184253,17.3,17.4
17.45,2.601,-14.59,0.186434,17.4,17.5
17.55,2.473,-14.83,0.181405,17.5,17.6
17.65,2.58,-15.3,0.171706,17.6,17.7
17.75,2.553,-15.53,0.167268,17.7,17.8
17.85,2.511,-15.83,0.161689,17.8,17.9
17.95,2.324,-15.64,0.165235,17.9,18.0
18.05,2.255,-15.42,0.16939,18.0,18.1
18.15,2.407,-15.62,0.165485,18.1,18.2
18.25,2.671,-15.5,0.16788,18.2,18.3
18.35,2.801,-16.03,0.157923,18.3,18.4
18.45,2.496,-16.61,0.147717,18.4,18.5
18.55,2.73,-16.28,0.153395,18.5,18.6
18.65,2.627,-16.36,0.152071,18.6,18.7
18.75,2.776,-16.24,0.154152,18.7,18.8
18.85,2.811,-16.29,0.15323,18.8,18.9
18.95,2.751,-16.79,0.144793,18.9,19.0
19.05,2.48,-16.8,0.144565,19.0,19.1
19.15,2.912,-16.28,0.153527,19.1,19.2
19.25,2.838,-16.67,0.146717,19.2,19.3
19.35,2.691,-16.27,0.153632,19.3,19.4
19.45,2.959,-16.34,0.152416,19.4,19.5
19.55,2.75,-16.4,0.151305,19.5,19.6
19.65,3.017,-16.68,0.146585,19.6,19.7
19.75,2.875,-16.93,0.142359,19.7,19.8
19.85,2.859,-16.71,0.146063,19.8,19.9
19.95,2.93,-16.91,0.142729,19.9,20.0
20.05,3.063,-17.0,0.141244,20.0,20.1
20.15,2.86,-16.77,0.144986,20.1,20.2
20.25,2.989,-16.95,0.142141,20.2,20.3
20.35,3.574,-16.75,0.145401,20.3,20.4
20.45,3.203,-16.59,0.148116,20.4,20.5
20.55,3.138,-16.43,0.150792,20.5,20.6
20.65,3.346,-16.08,0.156968,20.6,20.7
20.75,3.202,-15.27,0.172365,20.7,20.8
20.85,3.056,-15.83,0.161577,20.8,20.9
20.95,2.944,-16.4,0.151287,20.9,21.0
21.05,3.248,-16.29,0.153221,21.0,21.1
21.15,3.122,-16.48,0.150049,21.1,21.2
21.25,3.259,-15.85,0.161274,21.2,21.3
21.35,3.081,-15.85,0.161316,21.3,21.4
21.45,3.544,-15.7,0.164146,21.4,21.5
21.55,3.098,-15.83,0.161657,21.5,21.6
21.65,3.294,-15.86,0.161048,21.6,21.7
21.75,3.136,-15.09,0.175959,21.7,21.8
21.85,3.405,-14.74,0.183321,21.8,21.9
21.95,3.217,-14.63,0.185634,21.9,22.0
22.05,3.212,-14.38,0.19094,22.0,22.1
22.15,4.346,-14.28,0.19317,22.1,22.2
22.25,3.37,-14.36,0.191373,22.2,22.3
22.35,3.205,-14.31,0.192478,22.3,22.4
22.45,3.441,-14.38,0.190908,22.4,22.5
22.55,3.397,-14.72,0.183549,22.5,22.6
22.65,3.303,-14.53,0.187674,22.6,22.7
22.75,3.439,-14.89,0.180146,22.7,22.8
22.85,3.758,-14.58,0.186559,22.8,22.9
22.95,3.508,-14.54,0.187574,22.9,23.0
23.05,3.395,-14.33,0.192173,23.0,23.1
23.15,3.393,-14.41,0.190408,23.1,23.2
23.25,3.661,-14.34,0.191819,23.2,23.3
23.35,3.58,-14.24,0.194007,23.3,23.4
23.45,3.186,-13.95,0.200624,23.4,23.5
23.55,3.594,-13.62,0.208478,23.5,23.6
23.65,3.49,-13.66,0.207558,23.6,23.7
23.75,3.68,-13.63,0.208219,23.7,23.8
23.85,3.261,-13.35,0.214937,23.8,23.9
23.95,4.005,-12.96,0.225004,23.9,24.0
24.05,3.403,-12.68,0.232232,24.0,24.1
24.15,3.685,-12.51,0.236966,24.1,24.2
24.25,3.897,-12.36,0.241051,24.2,24.3
24.35,3.446,-12.35,0.241353,24.3,24.4
24.45,3.789,-12.39,0.240192,24.4,24.5
24.55,3.417,-12.33,0.241739,24.5,24.6
24.65,3.486,-12.38,0.240405,24.6,24.7
24.75,3.85,-12.25,0.244108,24.7,24.8
24.85,3.615,-12.22,0.244854,24.8,24.9
24.95,3.647,-12.0,0.251187,24.9,25.0
25.05,3.813,-12.21,0.245112,25.0,25.1
25.15,3.103,-12.05,0.24982,25.1,25.2
25.25,3.661,-12.13,0.247497,25.2,25.3
25.35,4.019,-12.13,0.247384,25.3,25.4
25.45,3.529,-12.09,0.248581,25.4,25.5
25.55,3.754,-12.31,0.242347,25.5,25.6
25.65,3.705,-12.12,0.24773,25.6,25.7
25.75,3.54,-12.05,0.249795,25.7,25.8
25.85,3.987,-12.07,0.249166,25.8,25.9
25.95,3.655,-11.98,0.251839,25.9,26.0
26.05,3.472,-11.93,0.253096,26.0,26.1
