t_event_s,force_N,audio_rms_dbfs,audio_rms_linear,window_start_s,window_end_s
0.05,0.404,-16.69,0.146449,0.0,0.1
0.15,0.543,-20.57,0.093598,0.1,0.2
0.25,0.401,-21.21,0.087033,0.2,0.3
0.35,0.405,-21.5,0.084181,0.3,0.4
0.45,0.631,-19.93,0.1008,0.4,0.5
0.55,0.936,-19.61,0.104628,0.5,0.6
0.65,0.467,-19.58,0.104928,0.6,0.7
0.75,0.589,-21.25,0.086611,0.7,0.8
0.85,0.641,-20.02,0.099747,0.8,0.9
0.95,0.515,-18.19,0.123165,0.9,1.0
1.05,0.72,-17.64,0.131157,1.0,1.1
1.15,0.586,-18.02,0.125609,1.1,1.2
1.25,0.478,-18.44,0.119696,1.2,1.3
1.35,0.659,-19.02,0.111991,1.3,1.4
1.45,0.544,-17.16,0.13867,1.4,1.5
1.55,0.567,-17.27,0.136926,1.5,1.6
1.65,0.472,-19.17,0.110005,1.6,1.7
1.75,0.692,-18.36,0.120801,1.7,1.8
1.85,0.555,-17.43,0.134416,1.8,1.9
1.95,0.633,-16.35,0.152147,1.9,2.0
2.05,0.671,-16.35,0.152308,2.0,2.1
2.15,0.685,-15.25,0.172833,2.1,2.2
2.25,0.549,-16.92,0.142551,2.2,2.3
2.35,0.819,-19.76,0.102838,2.3,2.4
2.45,0.898,-20.75,0.091759,2.4,2.5
2.55,0.613,-21.39,0.085168,2.5,2.6
2.65,0.584,-21.24,0.086674,2.6,2.7
2.75,0.702,-21.88,0.080494,2.7,2.8
2.85,0.768,-22.59,0.074227,2.8,2.9
2.95,0.647,-20.28,0.096786,2.9,3.0
3.05,0.614,-20.25,0.097205,3.0,3.1
3.15,0.749,-21.15,0.087606,3.1,3.2
3.25,1.223,-20.52,0.094234,3.2,3.3
3.35,0.967,-20.87,0.090504,3.3,3.4
3.45,0.94,-22.43,0.075583,3.4,3.5
3.55,0.904,-22.49,0.075057,3.5,3.6
3.65,0.957,-21.9,0.080352,3.6,3.7
3.75,0.621,-22.28,0.076923,3.7,3.8
3.85,0.756,-21.48,0.084287,3.8,3.9
3.95,0.754,-21.71,0.082171,3.9,4.0
4.05,0.776,-22.02,0.079221,4.0,4.1
4.15,0.961,-22.03,0.079135,4.1,4.2
4.25,0.773,-20.2,0.097757,4.2,4.3
4.35,0.832,-20.58,0.093587,4.3,4.4
4.45,0.724,-18.65,0.116816,4.4,4.5
4.55,0.825,-18.51,0.118779,4.5,4.6
4.65,0.792,-18.06,0.125078,4.6,4.7
4.75,0.84,-18.49,0.118965,4.7,4.8
4.85,0.878,-21.05,0.088641,4.8,4.9
4.95,0.963,-21.46,0.084531,4.9,5.0
