t_event_s,force_N,audio_rms_dbfs,audio_rms_linear,window_start_s,window_end_s
0.05,0.693,-17.52,0.133098,0.0,0.1
0.15,0.553,-20.39,0.09564,0.1,0.2
0.25,0.438,-20.65,0.092741,0.2,0.3
0.35,0.563,-21.72,0.08202,0.3,0.4
0.45,0.488,-21.42,0.084926,0.4,0.5
0.55,0.38,-18.63,0.117031,0.5,0.6
0.65,0.568,-19.44,0.106664,0.6,0.7
0.75,0.519,-21.34,0.085667,0.7,0.8
0.85,0.463,-20.07,0.09922,0.8,0.9
0.95,0.467,-18.0,0.125869,0.9,1.0
1.05,0.397,-17.68,0.13055,1.0,1.1
1.15,0.56,-18.51,0.118747,1.1,1.2
1.25,0.503,-18.65,0.116792,1.2,1.3
1.35,0.647,-17.53,0.132828,1.3,1.4
1.45,0.759,-17.38,0.135167,1.4,1.5
1.55,0.59,-17.95,0.126582,1.5,1.6
1.65,0.578,-18.94,0.113006,1.6,1.7
1.75,0.649,-18.27,0.121995,1.7,1.8
1.85,0.474,-17.23,0.137631,1.8,1.9
1.95,0.539,-17.0,0.141262,1.9,2.0
2.05,0.538,-15.58,0.166434,2.0,2.1
2.15,0.622,-14.98,0.178241,2.1,2.2
2.25,0.665,-17.4,0.134935,2.2,2.3
2.35,0.675,-19.54,0.105416,2.3,2.4
2.45,0.669,-21.24,0.086727,2.4,2.5
2.55,0.712,-23.09,0.070026,2.5,2.6
2.65,0.652,-23.03,0.070561,2.6,2.7
2.75,0.575,-22.18,0.07777,2.7,2.8
2.85,0.774,-21.37,0.085452,2.8,2.9
2.95,0.627,-20.41,0.095384,2.9,3.0
3.05,0.636,-20.97,0.089465,3.0,3.1
3.15,0.783,-21.75,0.08172,3.1,3.2
3.25,0.716,-21.74,0.081804,3.2,3.3
3.35,0.728,-21.53,0.083893,3.3,3.4
3.45,0.801,-22.33,0.076506,3.4,3.5
3.55,0.674,-22.4,0.075858,3.5,3.6
3.65,0.963,-21.85,0.080814,3.6,3.7
3.75,0.748,-21.81,0.081188,3.7,3.8
3.85,0.679,-21.29,0.08623,3.8,3.9
3.95,0.672,-21.53,0.083807,3.9,4.0
4.05,0.81,-22.03,0.079154,4.0,4.1
4.15,0.783,-21.2,0.087076,4.1,4.2
4.25,0.959,-19.71,0.10335,4.2,4.3
4.35,0.762,-19.07,0.11135,4.3,4.4
4.45,0.788,-18.3,0.121687,4.4,4.5
4.55,0.885,-18.2,0.123061,4.5,4.6
4.65,0.656,-17.56,0.132475,4.6,4.7
4.75,0.763,-18.65,0.116849,4.7,4.8
4.85,0.774,-21.04,0.088749,4.8,4.9
4.95,0.852,-21.16,0.087535,4.9,5.0
5.05,0.888,-21.38,0.085341,5.0,5.1
5.15,0.612,-22.87,0.071867,5.1,5.2
5.25,0.834,-22.45,0.075465,5.2,5.3
5.35,0.795,-20.6,0.093302,5.3,5.4
5.45,0.783,-19.68,0.103806,5.4,5.5
5.55,1.068,-20.1,0.098874,5.5,5.6
5.65,1.029,-18.88,0.11378,5.6,5.7
5.75,0.929,-20.78,0.091381,5.7,5.8
5.85,0.986,-20.0,0.100031,5.8,5.9
5.95,0.954,-19.64,0.104261,5.9,6.0
6.05,1.131,-19.67,0.103899,6.0,6.1
6.15,1.162,-20.61,0.093236,6.1,6.2
6.25,0.953,-21.17,0.087406,6.2,6.3
6.35,0.849,-20.47,0.094775,6.3,6.4
6.45,1.017,-22.12,0.078337,6.4,6.5
6.55,0.968,-23.73,0.065095,6.5,6.6
6.65,1.112,-23.72,0.065164,6.6,6.7
6.75,1.067,-23.51,0.066742,6.7,6.8
6.85,0.995,-22.61,0.074047,6.8,6.9
6.95,1.104,-23.18,0.069304,6.9,7.0
7.05,1.161,-24.05,0.062718,7.0,7.1
7.15,0.978,-24.36,0.060549,7.1,7.2
7.25,1.175,-23.34,0.068044,7.2,7.3
7.35,0.867,-23.5,0.066856,7.3,7.4
7.45,1.03,-22.75,0.072876,7.4,7.5
7.55,1.139,-20.89,0.090289,7.5,7.6
7.65,1.312,-21.4,0.085094,7.6,7.7
7.75,1.0,-21.72,0.081992,7.7,7.8
7.85,1.209,-22.71,0.073179,7.8,7.9
7.95,1.111,-22.85,0.072009,7.9,8.0
8.05,1.256,-22.17,0.07785,8.0,8.1
8.15,1.137,-22.68,0.073448,8.1,8.2
8.25,1.285,-22.21,0.077526,8.2,8.3
8.35,1.303,-20.81,0.091047,8.3,8.4
8.45,1.228,-21.03,0.088811,8.4,8.5
8.55,1.207,-21.84,0.080935,8.5,8.6
8.65,1.117,-22.09,0.078639,8.6,8.7
8.75,1.115,-22.07,0.07883,8.7,8.8
8.85,1.205,-22.65,0.073695,8.8,8.9
8.95,1.233,-22.08,0.078739,8.9,9.0
9.05,1.323,-21.0,0.089082,9.0,9.1
9.15,1.338,-21.16,0.087531,9.1,9.2
9.25,1.216,-21.74,0.081848,9.2,9.3
9.35,1.19,-21.66,0.082593,9.3,9.4
9.45,1.492,-21.22,0.086887,9.4,9.5
9.55,1.435,-20.82,0.090986,9.5,9.6
9.65,1.277,-20.48,0.094611,9.6,9.7
9.75,1.529,-20.54,0.09402,9.7,9.8
9.85,1.468,-19.62,0.104471,9.8,9.9
9.95,1.622,-18.16,0.123608,9.9,10.0
10.05,1.529,-16.47,0.15015,10.0,10.1
10.15,1.181,-15.7,0.163971,10.1,10.2
10.25,1.322,-14.54,0.187518,10.2,10.3
10.35,1.334,-14.2,0.194875,10.3,10.4
