event_id,pc_time_iso,pc_elapsed_s,stm32_time_ms,force_N,raw_line
1,2026-01-10T23:13:11.049476,13.898389900103211,1720000,0.461,"Load=0.461 N, t=1720000 ms"
1,2026-01-10T23:13:11.059470,13.908382900059223,1720010,0.424,"Load=0.424 N, t=1720010 ms"
1,2026-01-10T23:13:11.069505,13.91841830033809,1720020,0.65,"Load=0.650 N, t=1720020 ms"
1,2026-01-10T23:13:11.079507,13.928420500829816,1720030,0.426,"Load=0.426 N, t=1720030 ms"
1,2026-01-10T23:13:11.089519,13.938432200811803,1720040,0.458,"Load=0.458 N, t=1720040 ms"
1,2026-01-10T23:13:11.099571,13.948484800755978,1720050,0.639,"Load=0.639 N, t=1720050 ms"
1,2026-01-10T23:13:11.109455,13.958368400111794,1720060,0.358,"Load=0.358 N, t=1720060 ms"
1,2026-01-10T23:13:11.119374,13.968287100084126,1720070,0.556,"Load=0.556 N, t=1720070 ms"
1,2026-01-10T23:13:11.129376,13.978288399986923,1720080,0.487,"Load=0.487 N, t=1720080 ms"
1,2026-01-10T23:13:11.139461,13.988373700529337,1720090,0.371,"Load=0.371 N, t=1720090 ms"
1,2026-01-10T23:13:11.149463,13.998375500552356,1720100,0.486,"Load=0.486 N, t=1720100 ms"
1,2026-01-10T23:13:11.159552,14.008464900776744,1720110,0.438,"Load=0.438 N, t=1720110 ms"
1,2026-01-10T23:13:11.169567,14.018480299971998,1720120,0.597,"Load=0.597 N, t=1720120 ms"
1,2026-01-10T23:13:11.179388,14.028300900012255,1720130,0.728,"Load=0.728 N, t=1720130 ms"
1,2026-01-10T23:13:11.189416,14.038328700698912,1720140,0.537,"Load=0.537 N, t=1720140 ms"
1,2026-01-10T23:13:11.199415,14.048327900469303,1720150,0.504,"Load=0.504 N, t=1720150 ms"
1,2026-01-10T23:13:11.209420,14.05833370052278,1720160,0.443,"Load=0.443 N, t=1720160 ms"
1,2026-01-10T23:13:11.219379,14.068292300216854,1720170,0.429,"Load=0.429 N, t=1720170 ms"
1,2026-01-10T23:13:11.229460,14.078372900374234,1720180,0.439,"Load=0.439 N, t=1720180 ms"
1,2026-01-10T23:13:11.240286,14.089198500849307,1720190,0.499,"Load=0.499 N, t=1720190 ms"
1,2026-01-10T23:13:11.250364,14.09927670005709,1720200,0.619,"Load=0.619 N, t=1720200 ms"
1,2026-01-10T23:13:11.259429,14.10834230016917,1720210,0.506,"Load=0.506 N, t=1720210 ms"
1,2026-01-10T23:13:11.269390,14.11830330081284,1720220,0.583,"Load=0.583 N, t=1720220 ms"
1,2026-01-10T23:13:11.279418,14.128330600447953,1720230,0.606,"Load=0.606 N, t=1720230 ms"
1,2026-01-10T23:13:11.289451,14.138363900594413,1720240,0.589,"Load=0.589 N, t=1720240 ms"
1,2026-01-10T23:13:11.289451,14.138363900594413,1720240,0.589,"Load=0.589 N, t=1720240 ms"
1,2026-01-10T23:13:11.300356,14.149268500506878,1720250,0.387,"Load=0.387 N, t=1720250 ms"
1,2026-01-10T23:13:11.310400,14.159312600269914,1720260,0.58,"Load=0.580 N, t=1720260 ms"
1,2026-01-10T23:13:11.320371,14.16928349994123,1720270,0.494,"Load=0.494 N, t=1720270 ms"
1,2026-01-10T23:13:11.329542,14.17845440004021,1720280,0.685,"Load=0.685 N, t=1720280 ms"
1,2026-01-10T23:13:11.339508,14.18842040002346,1720290,0.782,"Load=0.782 N, t=1720290 ms"
1,2026-01-10T23:13:11.349522,14.198434200137854,1720300,0.616,"Load=0.616 N, t=1720300 ms"
1,2026-01-10T23:13:11.360399,14.209311500191689,1720310,0.969,"Load=0.969 N, t=1720310 ms"
1,2026-01-10T23:13:11.370489,14.219402099959552,1720320,0.688,"Load=0.688 N, t=1720320 ms"
1,2026-01-10T23:13:11.380461,14.229373400099576,1720330,0.494,"Load=0.494 N, t=1720330 ms"
1,2026-01-10T23:13:11.390455,14.23936800006777,1720340,0.366,"Load=0.366 N, t=1720340 ms"
1,2026-01-10T23:13:11.400524,14.249435000121593,1720350,0.6,"Load=0.600 N, t=1720350 ms"
1,2026-01-10T23:13:11.409508,14.258420400321484,1720360,0.512,"Load=0.512 N, t=1720360 ms"
1,2026-01-10T23:13:11.419552,14.268463999964297,1720370,0.357,"Load=0.357 N, t=1720370 ms"
1,2026-01-10T23:13:11.430335,14.279247700236738,1720380,0.389,"Load=0.389 N, t=1720380 ms"
1,2026-01-10T23:13:11.440491,14.28940310049802,1720390,0.441,"Load=0.441 N, t=1720390 ms"
1,2026-01-10T23:13:11.450476,14.29938940051943,1720400,0.639,"Load=0.639 N, t=1720400 ms"
1,2026-01-10T23:13:11.460497,14.309408100321889,1720410,0.577,"Load=0.577 N, t=1720410 ms"
1,2026-01-10T23:13:11.470495,14.319406400434673,1720420,0.819,"Load=0.819 N, t=1720420 ms"
1,2026-01-10T23:13:11.479517,14.328429200686514,1720430,0.734,"Load=0.734 N, t=1720430 ms"
1,2026-01-10T23:13:11.490379,14.339291100390255,1720440,0.411,"Load=0.411 N, t=1720440 ms"
1,2026-01-10T23:13:11.500447,14.34935890045017,1720450,0.686,"Load=0.686 N, t=1720450 ms"
1,2026-01-10T23:13:11.510328,14.359239800833166,1720460,0.452,"Load=0.452 N, t=1720460 ms"
1,2026-01-10T23:13:11.520435,14.36934810038656,1720470,1.006,"Load=1.006 N, t=1720470 ms"
